Society,Family,Mate/spouse,Friends,Cohabitants,Colleagues,Animal,Being-alone,Objects/Events/Activities,Sports/training,Exam,Preparing-food,Eating,Drinking,Communicating,TV/movies,Commuting,Computer/online,Videogames,Reading,Working/studying,Shopping,Grooming,Waiting,Sleep,Music/dance,Telephone,Places,At-home,In-bathroom,In-kitchen,In-bed,At-university,In-bar/café/restaurant,DIST,VOLUME,MOVEMENTS
Austria,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6886879957965457,37.85646138339566,0.22800568622618153
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6468567151935707,29.93775440098338,0.06129444297916331
Austria,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.778142088641155,82.11144745011816,0.8200862858598288
Austria,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41300112418258783,19.251005993305697,0.12111694397622325
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1344096033553435,54.816596186822686,0.5606757522579091
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5630533220733341,54.02240350294771,0.23257489447060098
Austria,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5682028808593395,59.437729622524294,0.6183683873934908
Austria,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48478723642128274,71.50897513674903,0.7077002904289036
Austria,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6850718893154671,36.795535252046975,0.1950885294227626
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7458871623441983,26.1904067127388,0.19429373954286136
Austria,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9257862292763575,65.79644051025139,0.6890043304767441
Austria,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6214449751968427,29.066949650318065,0.17706259019096018
Austria,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0470691751953005,81.59487665297274,0.5238956356515884
Austria,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0986326141351004,78.31822115945351,0.7101326625387512
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719053781814692,56.96438135971455,0.5011029401184234
Austria,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.406468186223737,53.73194893189515,0.7218361464034218
Austria,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4137147099739968,27.107530668829007,0.12508802942843672
