Society,SocialInterpretation,FAMILY,MATE,FRIENDS,COHABITANTS,COLLEAGUES,ALONE,SPORTS,EXAM,FOOD,EATING,DRINKING,COMMUNICATING,TV,COMMUTING,COMPUTER,VIDEOGAMES,READING,WORKING,SHOPPING,GROOMING,WAITING,SLEEP,MUSIC,TELEPHONE,HOME,BATHROOM,KITCHEN,BED,UNIVERSITY,BAR,DIST,VOLUME,MOVEMENTS
Austria,DUTY,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1.0052274550735452,18.49159185361892,0.42598108154633785
Austria,INTELLECT,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.9840555287685073,12.033843476322069,0.08902479596611035
Austria,ADVERSITY,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.8111056377752699,54.90952581626682,0.8365662679105257
Austria,MATING,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5239780687714167,31.63399264912461,0.19578530273940892
Austria,POSITIVITY,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04691297319351884,60.21292141499003,0.7040761940965928
Austria,NEGATIVITY,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.063890132327583,54.921600532017216,0.6553414261049598
Austria,DECEPTION,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.37325032127752195,50.71580803661657,0.6492709339445005
Austria,SOCIALITY,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.4876716003943529,50.30785078383329,0.44010815946899895
Austria,DUTY,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.3026242757639566,39.32474082675894,0.16763907090718433
Austria,INTELLECT,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.535602896193909,18.235118867661342,0.1942793023585698
Austria,ADVERSITY,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.1235451325098085,90.28434199721778,0.9958456360096679
Austria,MATING,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78868942398724,18.203609753335655,0.1213997608621253
Austria,POSITIVITY,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.7263463832326921,50.69379303334189,0.6064406060208548
Austria,NEGATIVITY,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9144028219712982,51.76810190961606,0.48617899835694406
Austria,DECEPTION,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6607698564619306,38.68331929828459,0.6069510175828681
Austria,SOCIALITY,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9599162036782297,59.46461415789149,0.46315089034974355
Austria,DUTY,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7487073373034623,40.09843349885713,0.21042116782255763
Austria,INTELLECT,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.748190402447861,38.78063719634103,0.2695955371579053
Austria,ADVERSITY,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.989655514279729,74.1070584889701,0.7970771744704325
Austria,MATING,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7159375854533484,22.919289556622665,-0.02411936601949166
Austria,POSITIVITY,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0501515575397455,60.28990701720762,0.29702023764792185
Austria,NEGATIVITY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4824581004869793,57.760507615021965,0.533066438786362
Austria,DECEPTION,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4119324026131213,44.98808665240923,0.6249376150160975
Austria,SOCIALITY,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.11110703561407198,50.74861441084762,0.757154921900645
Austria,DUTY,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0.8861168550002991,25.32126437611625,0.1294996208587107
Austria,INTELLECT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.2421541436224666,24.893567606908267,0.19601401959867923
Austria,ADVERSITY,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4044300220583366,87.38490228539787,0.7426963251382847
Austria,MATING,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.36627878106974177,22.51599877171323,0.10742006369267929
Austria,POSITIVITY,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8305423902594968,61.71428323641513,0.6277693159385446
Austria,NEGATIVITY,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3061069995073686,57.76644662730591,0.5652900785416798
Austria,DECEPTION,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2877972392101025,69.86419373895862,0.4993783187506781
Austria,SOCIALITY,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.899427645985512,59.228377561151,0.5932218897188988
