society,dataset_file,max_dataset_size,fuzzy_sets_file,ling_vars_file,rules_file_id,interpretability_index,min_nr_datapoints,min_certainty_threshold,genetic_algo,ga_nr_gen,pop_size,trial,STEP/DATAPOINT,use_correct_interpretation,consider_past_experience,contextualize,min_nr_adaptations_for_contextualizing,correct_interpretation,social_interpretation,certainty_interpretation,FSQ_position_qualifier_DIST_low_distance_a,FSQ_position_qualifier_DIST_low_distance_b,FSQ_position_qualifier_DIST_low_distance_c,FSQ_position_qualifier_DIST_low_distance_d,FSQ_position_qualifier_DIST_mid_distance_a,FSQ_position_qualifier_DIST_mid_distance_b,FSQ_position_qualifier_DIST_mid_distance_c,FSQ_position_qualifier_DIST_mid_distance_d,FSQ_position_qualifier_DIST_high_distance_a,FSQ_position_qualifier_DIST_high_distance_b,FSQ_position_qualifier_DIST_high_distance_c,FSQ_position_qualifier_DIST_high_distance_d,FSQ_position_qualifier_VOLUME_low_volume_a,FSQ_position_qualifier_VOLUME_low_volume_b,FSQ_position_qualifier_VOLUME_low_volume_c,FSQ_position_qualifier_VOLUME_low_volume_d,FSQ_position_qualifier_VOLUME_mid_volume_a,FSQ_position_qualifier_VOLUME_mid_volume_b,FSQ_position_qualifier_VOLUME_mid_volume_c,FSQ_position_qualifier_VOLUME_mid_volume_d,FSQ_position_qualifier_VOLUME_high_volume_a,FSQ_position_qualifier_VOLUME_high_volume_b,FSQ_position_qualifier_VOLUME_high_volume_c,FSQ_position_qualifier_VOLUME_high_volume_d,FSQ_position_qualifier_MOVEMENTS_low_mov_a,FSQ_position_qualifier_MOVEMENTS_low_mov_b,FSQ_position_qualifier_MOVEMENTS_low_mov_c,FSQ_position_qualifier_MOVEMENTS_low_mov_d,FSQ_position_qualifier_MOVEMENTS_mid_mov_a,FSQ_position_qualifier_MOVEMENTS_mid_mov_b,FSQ_position_qualifier_MOVEMENTS_mid_mov_c,FSQ_position_qualifier_MOVEMENTS_mid_mov_d,FSQ_position_qualifier_MOVEMENTS_high_mov_a,FSQ_position_qualifier_MOVEMENTS_high_mov_b,FSQ_position_qualifier_MOVEMENTS_high_mov_c,FSQ_position_qualifier_MOVEMENTS_high_mov_d
US,data_USAustria_adaptation_experiments_ds3_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,10,0.0,GA,100,20,0,1000,False,False,False,10,DUTY,DUTY,"{'SOCIALITY': -0.09500987312352252, 'DUTY': 0.5055484155294154, 'POSITIVITY': -0.15120898102350874, 'NEGATIVITY': 0.12204970349813694, 'ADVERSITY': -4.234783519826704e-18, 'DECEPTION': 0.02500054952559271, 'MATING': -0.06111297611159547, 'INTELLECT': 0.08333852831377368}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
US,data_USAustria_adaptation_experiments_ds3_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,10,0.0,GA,100,20,0,1001,False,False,False,10,INTELLECT,INTELLECT,"{'SOCIALITY': -0.054543998119539264, 'DUTY': 0.06667157586210133, 'POSITIVITY': -0.06210571126463624, 'NEGATIVITY': 0.05415645416046297, 'ADVERSITY': -0.025000549525592723, 'DECEPTION': -1.3623114842516109e-17, 'MATING': -0.09001241950766874, 'INTELLECT': 0.5055376340298502}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
US,data_USAustria_adaptation_experiments_ds3_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,10,0.0,GA,100,20,0,1002,False,False,False,10,ADVERSITY,ADVERSITY,"{'SOCIALITY': 0.027774364777847886, 'DUTY': -0.027641201811068095, 'POSITIVITY': 0.038887235222430434, 'NEGATIVITY': 0.025012360036556883, 'ADVERSITY': 0.14319788937517036, 'DECEPTION': 0.02500054952559271, 'MATING': -4.234783519826704e-18, 'INTELLECT': 0.02500054952559271}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
US,data_USAustria_adaptation_experiments_ds3_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,10,0.0,GA,100,20,0,1003,False,False,False,10,MATING,POSITIVITY,"{'SOCIALITY': 0.12794215888088525, 'DUTY': -0.09001241950766874, 'POSITIVITY': 0.1750068099558414, 'NEGATIVITY': -0.033814461935806714, 'ADVERSITY': -4.234783519826704e-18, 'DECEPTION': -4.234783519826704e-18, 'MATING': 0.050000270488748104, 'INTELLECT': -0.10000223541639625}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
US,data_USAustria_adaptation_experiments_ds3_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,10,0.0,GA,100,20,0,1004,False,False,False,10,POSITIVITY,POSITIVITY,"{'SOCIALITY': 0.05000161791621724, 'DUTY': -0.09001241950766874, 'POSITIVITY': 0.19893538300371136, 'NEGATIVITY': -0.10000223541639625, 'ADVERSITY': 0.027954395297098793, 'DECEPTION': -0.025000549525592723, 'MATING': 0.02500054952559271, 'INTELLECT': -0.10000223541639625}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
US,data_USAustria_adaptation_experiments_ds3_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,10,0.0,GA,100,20,0,1005,False,False,False,10,NEGATIVITY,NEGATIVITY,"{'SOCIALITY': -0.1316608783607512, 'DUTY': 0.12859915100310948, 'POSITIVITY': -0.12833790671189396, 'NEGATIVITY': 0.47666571046664574, 'ADVERSITY': -0.02499993865993912, 'DECEPTION': 0.02500054952559271, 'MATING': -0.12499972582277108, 'INTELLECT': 0.13573194989347187}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
US,data_USAustria_adaptation_experiments_ds3_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,10,0.0,GA,100,20,0,1006,False,False,False,10,DECEPTION,DECEPTION,"{'SOCIALITY': -0.09500987312352252, 'DUTY': 0.06364504819382878, 'POSITIVITY': -0.04166489236915123, 'NEGATIVITY': 0.10000422656756175, 'ADVERSITY': 0.05715517822360424, 'DECEPTION': 0.17859784257667596, 'MATING': -0.09001241950766874, 'INTELLECT': 0.04881940935147206}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
US,data_USAustria_adaptation_experiments_ds3_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,10,0.0,GA,100,20,0,1007,False,False,False,10,SOCIALITY,SOCIALITY,"{'SOCIALITY': 0.4813617953134805, 'DUTY': -0.06414320525421568, 'POSITIVITY': 0.06848928540312645, 'NEGATIVITY': -0.059991565195304915, 'ADVERSITY': -0.025000549525592723, 'DECEPTION': -0.025000549525592723, 'MATING': 0.08972294622704963, 'INTELLECT': -0.025000549525592723}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
US,data_USAustria_adaptation_experiments_ds3_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,10,0.0,GA,100,20,0,1008,False,False,False,10,DUTY,DUTY,"{'SOCIALITY': -0.09500987312352252, 'DUTY': 0.5055484155294154, 'POSITIVITY': -0.15120898102350874, 'NEGATIVITY': 0.08749796283671635, 'ADVERSITY': -4.234783519826704e-18, 'DECEPTION': -1.3623114842516109e-17, 'MATING': -0.05001433269310181, 'INTELLECT': 0.06924945274890995}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
US,data_USAustria_adaptation_experiments_ds3_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,10,0.0,GA,100,20,0,1009,False,False,False,10,INTELLECT,INTELLECT,"{'SOCIALITY': -0.022372177667824164, 'DUTY': -0.039722129449513706, 'POSITIVITY': 0.027954395297098793, 'NEGATIVITY': -0.038334605168378555, 'ADVERSITY': -0.025000549525592723, 'DECEPTION': -0.00713427184385985, 'MATING': -0.020460805980389667, 'INTELLECT': 0.5539962028093498}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
