society,dataset_file,max_dataset_size,fuzzy_sets_file,ling_vars_file,rules_file_id,interpretability_index,min_nr_datapoints,min_certainty_threshold,genetic_algo,ga_nr_gen,pop_size,trial,STEP/DATAPOINT,use_correct_interpretation,consider_past_experience,contextualize,min_nr_adaptations_for_contextualizing,correct_interpretation,social_interpretation,certainty_interpretation,FSQ_position_qualifier_DIST_low_distance_a,FSQ_position_qualifier_DIST_low_distance_b,FSQ_position_qualifier_DIST_low_distance_c,FSQ_position_qualifier_DIST_low_distance_d,FSQ_position_qualifier_DIST_mid_distance_a,FSQ_position_qualifier_DIST_mid_distance_b,FSQ_position_qualifier_DIST_mid_distance_c,FSQ_position_qualifier_DIST_mid_distance_d,FSQ_position_qualifier_DIST_high_distance_a,FSQ_position_qualifier_DIST_high_distance_b,FSQ_position_qualifier_DIST_high_distance_c,FSQ_position_qualifier_DIST_high_distance_d,FSQ_position_qualifier_VOLUME_low_volume_a,FSQ_position_qualifier_VOLUME_low_volume_b,FSQ_position_qualifier_VOLUME_low_volume_c,FSQ_position_qualifier_VOLUME_low_volume_d,FSQ_position_qualifier_VOLUME_mid_volume_a,FSQ_position_qualifier_VOLUME_mid_volume_b,FSQ_position_qualifier_VOLUME_mid_volume_c,FSQ_position_qualifier_VOLUME_mid_volume_d,FSQ_position_qualifier_VOLUME_high_volume_a,FSQ_position_qualifier_VOLUME_high_volume_b,FSQ_position_qualifier_VOLUME_high_volume_c,FSQ_position_qualifier_VOLUME_high_volume_d,FSQ_position_qualifier_MOVEMENTS_low_mov_a,FSQ_position_qualifier_MOVEMENTS_low_mov_b,FSQ_position_qualifier_MOVEMENTS_low_mov_c,FSQ_position_qualifier_MOVEMENTS_low_mov_d,FSQ_position_qualifier_MOVEMENTS_mid_mov_a,FSQ_position_qualifier_MOVEMENTS_mid_mov_b,FSQ_position_qualifier_MOVEMENTS_mid_mov_c,FSQ_position_qualifier_MOVEMENTS_mid_mov_d,FSQ_position_qualifier_MOVEMENTS_high_mov_a,FSQ_position_qualifier_MOVEMENTS_high_mov_b,FSQ_position_qualifier_MOVEMENTS_high_mov_c,FSQ_position_qualifier_MOVEMENTS_high_mov_d
Austria,data_USAustria_adaptation_experiments_ds1_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,40,0.0,GA,100,20,0,0,False,False,False,10,DUTY,NEGATIVITY,"{'DUTY': 0.10682929040726823, 'DECEPTION': 0.03333326646619899, 'INTELLECT': -0.08333316616549745, 'SOCIALITY': -0.5230292885877509, 'ADVERSITY': -0.021442989944942818, 'POSITIVITY': -0.10165808297448578, 'MATING': -0.13333306586479593, 'NEGATIVITY': 0.49743263794093345}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
Austria,data_USAustria_adaptation_experiments_ds1_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,40,0.0,GA,100,20,0,1,False,False,False,10,INTELLECT,INTELLECT,"{'DUTY': 0.033351609050670326, 'DECEPTION': 0.0750052473535621, 'INTELLECT': 0.48468778873441326, 'SOCIALITY': 0.05899774721006521, 'ADVERSITY': 0.05000161791621724, 'POSITIVITY': 0.02660913596902217, 'MATING': 0.10716227686986719, 'NEGATIVITY': 0.06042623524300004}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
Austria,data_USAustria_adaptation_experiments_ds1_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,40,0.0,GA,100,20,0,2,False,False,False,10,ADVERSITY,ADVERSITY,"{'DUTY': 0.3262394332944843, 'DECEPTION': 0.07500317124613372, 'INTELLECT': 0.055551083735906386, 'SOCIALITY': 0.021149441694455574, 'ADVERSITY': 0.5131903443236581, 'POSITIVITY': 0.010458707815558875, 'MATING': 0.09354807355033053, 'NEGATIVITY': 0.08183906344376873}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
Austria,data_USAustria_adaptation_experiments_ds1_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,40,0.0,GA,100,20,0,3,False,False,False,10,MATING,MATING,"{'DUTY': -0.036356298868233224, 'DECEPTION': 0.04445108580225902, 'INTELLECT': 0.0202207705357402, 'SOCIALITY': 0.06324574994750638, 'ADVERSITY': -1.3623114842516109e-17, 'POSITIVITY': -0.0171010644749929, 'MATING': 0.5058719534688443, 'NEGATIVITY': 0.004552432642836167}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
Austria,data_USAustria_adaptation_experiments_ds1_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,40,0.0,GA,100,20,0,4,False,False,False,10,POSITIVITY,POSITIVITY,"{'DUTY': -0.12832597877169163, 'DECEPTION': -0.05000161791621723, 'INTELLECT': 0.011355708807752395, 'SOCIALITY': 0.08999981945873735, 'ADVERSITY': 0.007134271843859845, 'POSITIVITY': 0.5639743613267039, 'MATING': 0.14288794555901063, 'NEGATIVITY': -0.07204832526720953}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
Austria,data_USAustria_adaptation_experiments_ds1_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,40,0.0,GA,100,20,0,5,False,False,False,10,NEGATIVITY,NEGATIVITY,"{'DUTY': 0.0666665329323981, 'DECEPTION': 0.0666665329323981, 'INTELLECT': -0.02499994984964927, 'SOCIALITY': -0.04999989969929851, 'ADVERSITY': 0.024999949849649223, 'POSITIVITY': -0.06666653293239809, 'MATING': 0.02499993865993912, 'NEGATIVITY': 0.21249957372201875}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
Austria,data_USAustria_adaptation_experiments_ds1_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,40,0.0,GA,100,20,0,6,False,False,False,10,DECEPTION,DECEPTION,"{'DUTY': 0.43666579070720685, 'DECEPTION': 0.49646401901976384, 'INTELLECT': 0.042846830383052315, 'SOCIALITY': 0.0409089633041589, 'ADVERSITY': 0.0750010329591391, 'POSITIVITY': -0.005564246555899586, 'MATING': 4.9849237075616444e-18, 'NEGATIVITY': 0.11500338870627703}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
Austria,data_USAustria_adaptation_experiments_ds1_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,40,0.0,GA,100,20,0,7,False,False,False,10,SOCIALITY,MATING,"{'DUTY': -0.025000549525592723, 'DECEPTION': -1.3623114842516109e-17, 'INTELLECT': 0.0055626365198956996, 'SOCIALITY': 0.1549938745688977, 'ADVERSITY': 0.02500054952559271, 'POSITIVITY': 0.08288794587494247, 'MATING': 0.42366420706643776, 'NEGATIVITY': -0.033814461935806714}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
Austria,data_USAustria_adaptation_experiments_ds1_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,40,0.0,GA,100,20,0,8,False,False,False,10,DUTY,DUTY,"{'DUTY': 0.5409575240194845, 'DECEPTION': 0.061531752812716, 'INTELLECT': -0.02795439529709884, 'SOCIALITY': -0.34408183212321497, 'ADVERSITY': -0.03890285788964718, 'POSITIVITY': -0.12017966954939022, 'MATING': -0.09286652858510945, 'NEGATIVITY': 0.1410111977083937}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
Austria,data_USAustria_adaptation_experiments_ds1_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,40,0.0,GA,100,20,0,9,False,False,False,10,INTELLECT,INTELLECT,"{'DUTY': 0.3262394332944843, 'DECEPTION': 0.06414320525421562, 'INTELLECT': 0.48468778873441326, 'SOCIALITY': 0.032997607664103264, 'ADVERSITY': 0.05000161791621724, 'POSITIVITY': 0.008799605753853433, 'MATING': 0.10002706128303492, 'NEGATIVITY': 0.09302045434375648}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
Austria,data_USAustria_adaptation_experiments_ds1_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,40,0.0,GA,100,20,0,10,False,False,False,10,ADVERSITY,INTELLECT,"{'DUTY': 0.08890375552291176, 'DECEPTION': 0.06618747792221999, 'INTELLECT': 0.3833593895322292, 'SOCIALITY': 0.09501200023150148, 'ADVERSITY': 0.050000270488748104, 'POSITIVITY': 0.06998382420521268, 'MATING': 0.09856080021158788, 'NEGATIVITY': 0.022239406849994862}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
