society,dataset_file,max_dataset_size,fuzzy_sets_file,ling_vars_file,rules_file_id,interpretability_index,min_nr_datapoints,min_certainty_threshold,genetic_algo,ga_nr_gen,pop_size,trial,STEP/DATAPOINT,use_correct_interpretation,consider_past_experience,contextualize,min_nr_adaptations_for_contextualizing,correct_interpretation,social_interpretation,certainty_interpretation,FSQ_position_qualifier_DIST_low_distance_a,FSQ_position_qualifier_DIST_low_distance_b,FSQ_position_qualifier_DIST_low_distance_c,FSQ_position_qualifier_DIST_low_distance_d,FSQ_position_qualifier_DIST_mid_distance_a,FSQ_position_qualifier_DIST_mid_distance_b,FSQ_position_qualifier_DIST_mid_distance_c,FSQ_position_qualifier_DIST_mid_distance_d,FSQ_position_qualifier_DIST_high_distance_a,FSQ_position_qualifier_DIST_high_distance_b,FSQ_position_qualifier_DIST_high_distance_c,FSQ_position_qualifier_DIST_high_distance_d,FSQ_position_qualifier_VOLUME_low_volume_a,FSQ_position_qualifier_VOLUME_low_volume_b,FSQ_position_qualifier_VOLUME_low_volume_c,FSQ_position_qualifier_VOLUME_low_volume_d,FSQ_position_qualifier_VOLUME_mid_volume_a,FSQ_position_qualifier_VOLUME_mid_volume_b,FSQ_position_qualifier_VOLUME_mid_volume_c,FSQ_position_qualifier_VOLUME_mid_volume_d,FSQ_position_qualifier_VOLUME_high_volume_a,FSQ_position_qualifier_VOLUME_high_volume_b,FSQ_position_qualifier_VOLUME_high_volume_c,FSQ_position_qualifier_VOLUME_high_volume_d,FSQ_position_qualifier_MOVEMENTS_low_mov_a,FSQ_position_qualifier_MOVEMENTS_low_mov_b,FSQ_position_qualifier_MOVEMENTS_low_mov_c,FSQ_position_qualifier_MOVEMENTS_low_mov_d,FSQ_position_qualifier_MOVEMENTS_mid_mov_a,FSQ_position_qualifier_MOVEMENTS_mid_mov_b,FSQ_position_qualifier_MOVEMENTS_mid_mov_c,FSQ_position_qualifier_MOVEMENTS_mid_mov_d,FSQ_position_qualifier_MOVEMENTS_high_mov_a,FSQ_position_qualifier_MOVEMENTS_high_mov_b,FSQ_position_qualifier_MOVEMENTS_high_mov_c,FSQ_position_qualifier_MOVEMENTS_high_mov_d
Austria,data_USAustria_adaptation_experiments_ds2_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,20,0.0,GA,100,20,0,0,False,False,False,10,DUTY,DUTY,"{'INTELLECT': -0.021442989944942818, 'DUTY': 0.4833323637598855, 'DECEPTION': 0.03451586952396336, 'POSITIVITY': -0.12955432457228916, 'ADVERSITY': -0.025012360036556856, 'SOCIALITY': -0.400775939910177, 'MATING': -0.07762840685502169, 'NEGATIVITY': 0.4155577804263345}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
Austria,data_USAustria_adaptation_experiments_ds2_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,20,0.0,GA,100,20,0,1,False,False,False,10,INTELLECT,ADVERSITY,"{'INTELLECT': 0.1000022354163963, 'DUTY': 0.04546074870987776, 'DECEPTION': 0.12500388128157705, 'POSITIVITY': 0.05299720007073679, 'ADVERSITY': 0.13972207123925795, 'SOCIALITY': 0.10833829698887307, 'MATING': 0.033814461935806714, 'NEGATIVITY': 0.06042623524300004}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
Austria,data_USAustria_adaptation_experiments_ds2_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,20,0.0,GA,100,20,0,2,False,False,False,10,ADVERSITY,ADVERSITY,"{'INTELLECT': 0.05999156519530491, 'DUTY': -0.009990128845118188, 'DECEPTION': 0.05000161791621724, 'POSITIVITY': 0.12500046337331103, 'ADVERSITY': 0.5131903443236581, 'SOCIALITY': 0.09078226300692303, 'MATING': 0.06414320525421562, 'NEGATIVITY': -0.00713427184385985}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
Austria,data_USAustria_adaptation_experiments_ds2_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,20,0.0,GA,100,20,0,3,False,False,False,10,MATING,MATING,"{'INTELLECT': 0.028558526800403355, 'DUTY': 0.043426454732497656, 'DECEPTION': 0.11832678793996505, 'POSITIVITY': -0.05165633583603381, 'ADVERSITY': 0.02500054952559271, 'SOCIALITY': 0.09644216048217111, 'MATING': 0.596394281806786, 'NEGATIVITY': 0.08025556862766171}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
Austria,data_USAustria_adaptation_experiments_ds2_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,20,0.0,GA,100,20,0,4,False,False,False,10,POSITIVITY,POSITIVITY,"{'INTELLECT': 0.05999156519530491, 'DUTY': -0.04546074870987776, 'DECEPTION': 0.025001197502020508, 'POSITIVITY': 0.4529661607894576, 'ADVERSITY': 0.027938713807428024, 'SOCIALITY': 0.1315220427882441, 'MATING': 0.05000161791621724, 'NEGATIVITY': -0.05499688224052601}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
Austria,data_USAustria_adaptation_experiments_ds2_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,20,0.0,GA,100,20,0,5,False,False,False,10,NEGATIVITY,DUTY,"{'INTELLECT': 0.02499993865993912, 'DUTY': 0.5346143121694225, 'DECEPTION': 0.5143140002046527, 'POSITIVITY': -0.19999959879719398, 'ADVERSITY': 0.07499981770380812, 'SOCIALITY': -0.14999969909789554, 'MATING': -0.04999989969929852, 'NEGATIVITY': 0.23333286526339342}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
Austria,data_USAustria_adaptation_experiments_ds2_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,20,0.0,GA,100,20,0,6,False,False,False,10,DECEPTION,DECEPTION,"{'INTELLECT': 0.12499974924824622, 'DUTY': 0.09999979939859702, 'DECEPTION': 0.5129387411980484, 'POSITIVITY': -0.05225872453706366, 'ADVERSITY': 0.07499981770380812, 'SOCIALITY': 0.061380428880866277, 'MATING': 0.02499993865993912, 'NEGATIVITY': 0.12044410898771923}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
Austria,data_USAustria_adaptation_experiments_ds2_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,20,0.0,GA,100,20,0,7,False,False,False,10,SOCIALITY,SOCIALITY,"{'INTELLECT': -0.005550134930669024, 'DUTY': -0.04286638366770317, 'DECEPTION': 0.04286638366770318, 'POSITIVITY': 0.08972294622704963, 'ADVERSITY': 0.057135133965701274, 'SOCIALITY': 0.5536595687894581, 'MATING': 0.007134271843859845, 'NEGATIVITY': -0.011355708807752421}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
Austria,data_USAustria_adaptation_experiments_ds2_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,20,0.0,GA,100,20,0,8,False,False,False,10,DUTY,DUTY,"{'INTELLECT': -0.03890285788964718, 'DUTY': 0.5409575240194845, 'DECEPTION': 0.04546074870987776, 'POSITIVITY': -0.11302990609265919, 'ADVERSITY': -0.021442989944942818, 'SOCIALITY': -0.3889153793131844, 'MATING': -0.11001799217330634, 'NEGATIVITY': 0.12728824095508243}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
Austria,data_USAustria_adaptation_experiments_ds2_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,20,0.0,GA,100,20,0,9,False,False,False,10,INTELLECT,DUTY,"{'INTELLECT': 0.12500090295686422, 'DUTY': 0.3639211195839592, 'DECEPTION': 0.1000022354163963, 'POSITIVITY': 0.2971038848224309, 'ADVERSITY': 0.0750010329591391, 'SOCIALITY': 0.0522706423472397, 'MATING': 0.02283951652584819, 'NEGATIVITY': 0.08183906344376873}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
Austria,data_USAustria_adaptation_experiments_ds2_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,20,0.0,GA,100,20,0,10,False,False,False,10,ADVERSITY,ADVERSITY,"{'INTELLECT': 0.007134271843859845, 'DUTY': 0.36350452864112504, 'DECEPTION': 0.08381550441636285, 'POSITIVITY': -0.08336320150705602, 'ADVERSITY': 0.5539962028093498, 'SOCIALITY': -0.04091919159553704, 'MATING': -0.011098610524937106, 'NEGATIVITY': 0.10835917433362383}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
Austria,data_USAustria_adaptation_experiments_ds2_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,20,0.0,GA,100,20,0,11,False,False,False,10,MATING,DECEPTION,"{'INTELLECT': 0.07204832526720946, 'DUTY': 0.049999899699298536, 'DECEPTION': 0.4905357759641561, 'POSITIVITY': 0.05130759625430834, 'ADVERSITY': 0.07499981770380812, 'SOCIALITY': 0.13056263610774976, 'MATING': 0.07046069143936587, 'NEGATIVITY': 0.0374999247744739}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
Austria,data_USAustria_adaptation_experiments_ds2_1k.xlsx,1000,fuzzy_sets_multiple_ref.xlsx,ling_var_multiple_ref.xlsx,_ref_all_refined2,PHI,20,0.0,GA,100,20,0,12,False,False,False,10,POSITIVITY,POSITIVITY,"{'INTELLECT': 0.07204832526720946, 'DUTY': -0.08499291828883855, 'DECEPTION': -0.025001197502020525, 'POSITIVITY': 0.5510547817730049, 'ADVERSITY': 0.007134271843859845, 'SOCIALITY': 0.1083200039078069, 'MATING': 0.18027925565287503, 'NEGATIVITY': -0.07204832526720953}",0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
